date,vol_bucket,risk_regime
2024-01-03,Low_Vol,Risk-Off
2024-01-04,Low_Vol,Risk-Off
2024-01-05,Low_Vol,Risk-Off
2024-01-08,Low_Vol,Risk-Off
2024-01-09,Low_Vol,Risk-Off
2024-01-10,Low_Vol,Risk-Off
2024-01-11,Low_Vol,Risk-Off
2024-01-12,Low_Vol,Risk-Off
2024-01-16,Low_Vol,Risk-Off
2024-01-17,Low_Vol,Risk-Off
2024-01-18,Low_Vol,Risk-Off
2024-01-19,Low_Vol,Risk-Off
2024-01-22,Low_Vol,Risk-Off
2024-01-23,Low_Vol,Risk-Off
2024-01-24,Low_Vol,Risk-Off
2024-01-25,Low_Vol,Risk-Off
2024-01-26,Low_Vol,Risk-Off
2024-01-29,Low_Vol,Risk-Off
